uid,model,variant,temperature,modality,strict,rescued,schema_status,file
faa67d8f,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v0_t0_0.json
47817359,gemini-2.5-flash-preview-05-20,1,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/47817359_v1_t0_5.json
27910ee5,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v0_t0_5.json
a79efa23,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v2_t0_0.json
0dd1e9ca,gemini-2.5-flash-preview-05-20,0,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v0_t0_5.json
1b64c419,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v2_t0_0.json
d21fc252,gemini-2.5-flash-preview-05-20,1,0.5,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v1_t0_5.json
9cebf902,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v0_t0_5.json
dc35566b,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v2_t0_5.json
85a846ff,gemini-2.5-flash-preview-05-20,1,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v1_t0_0.json
b4ec494d,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v2_t0_5.json
f260aa25,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v0_t0_5.json
07080553,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/07080553_v1_t0_5.json
