uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub,price_per_k,ctx_tokens,price_date,norm_schema,norm_rubric,norm_iou,norm_price,norm_safety,composite_score
9652a31e,"Shipping, Receiving, and Inventory Clerks",0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
25c9f684,Customer Service Representatives,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
ab599408,Medical Secretaries and Administrative Assistants,0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/ab599408_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,0.0025,256000.0,,1.0,0.8,0.0,0.0,1.0,72.30769230769232
07080553,Paralegals and Legal Assistants,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/07080553_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
f6d74921,"Elementary School Teachers, Except Special Education",1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
0c07452f,"Elementary School Teachers, Except Special Education",0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
8cc4a9e1,"Shipping, Receiving, and Inventory Clerks",0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,0.0025,256000.0,,1.0,0.4,0.0,0.0,1.0,47.6923076923077
ce0be4e8,Radiologic Technologists and Technicians,0,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v0_t0_5.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,,0.0,0.0
7e365caf,Logisticians,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
b4ec494d,Customer Service Representatives,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
